name,price,sqft,high_rise,furnished,bath,bed,parking
hijauan kiara,"RM 6,800",2090 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
ascadia,"RM 360,000",930 sqft,High-Rise,Partially furnished,2 bath,3 bed,0 parking
The elements @ Jalan Ampang,"RM 2,800",850 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"the capers, sentul east","RM 2,350",1000 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"The Valley TTDI, Ampang","RM 14,900",5850 sqft,Landed,Fully furnished,4 bath,4 bed,0 parking
Bukit Pandan 1,"RM 1,150",1100 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"222 residency, setapak","RM 1,500",1102 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
"KL Palace Court, Kuchai Lama","RM 1,900",1313 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"Saville @ The Park, Pantai","RM 2,500",1253 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
Ceriaan Kiara,"RM 5,000",2171 sqft,High-Rise,Partially furnished,3 bath,3 bed,2 parking
"de tropicana, kuchai lama",RM 350,1102 sqft,High-Rise,Partially furnished,2 bath,1 bed,0 parking
"Desa Cindaimas, Old Klang Road","RM 2,200",1400 sqft,High-Rise,Unfurnished,3 bath,3 bed,1 parking
zeta deskye residence,"RM 1,500",1037 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
"Waldorf Tower, Sri Hartamas","RM 2,000",680 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
"Setia Sky Residences, KLCC","RM 2,500",700 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"Setia Sky Residences, KLCC","RM 3,200",1055 sqft,High-Rise,Fully furnished,1 bath,3 bed,1 parking
"1 Razak Mansion, Sungai Besi","RM 1,200",800 sqft,High-Rise,Unfurnished,2 bath,3 bed,1 parking
"Sentrovue, Kuala Selangor",RM 850,842 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
