name,price,sqft,high_rise,furnished,bath,bed,parking
anjali north kiara,"RM 5,000",1780 sqft,High-Rise,Fully furnished,4 bath,4 bed,2 parking
pv16 platinum lake condo,"RM 2,400",1500 sqft,High-Rise,Partially furnished,2 bath,4 bed,0 parking
Sri Bandar condo,"RM 1,700",1000 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
Kiara 163,"RM 1,950",620 sqft,High-Rise,Unfurnished,0 bath,0 bed,0 parking
the reach @ titiwangsa,"RM 1,390",350 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
Mutiara Villa,"RM 2,000",600 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"Taman Sri Sinar, Segambut","RM 1,200",592 sqft,Landed,Partially furnished,2 bath,3 bed,0 parking
spring avenue service residences,"RM 2,500",986 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
Royalle Condominium,"RM 2,200",990 sqft,High-Rise,Fully furnished,3 bath,2 bed,1 parking
maxim citylights,"RM 1,800",1260 sqft,High-Rise,Unfurnished,3 bath,3 bed,2 parking
"Bayu Sentul, Sentul","RM 1,800",1630 sqft,High-Rise,Partially furnished,3 bath,4 bed,2 parking
Expressionz by Mykeyglobal,"RM 6,200",875 sqft,High-Rise,Fully furnished,2 bath,2 bed,0 parking
Expressionz Suites,"RM 6,200",875 sqft,High-Rise,Fully furnished,2 bath,2 bed,0 parking
Gurneymas,"RM 1,500",800 sqft,High-Rise,Unfurnished,2 bath,3 bed,1 parking
"Ascenda Residence @ SkyArena, Setapak","RM 2,000",900 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
"Merc Residence, Taman Desa","RM 1,700",1067 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
PV13,"RM 2,300",1600 sqft,High-Rise,Partially furnished,2 bath,4 bed,0 parking
"Plaza Damas 3, Sri Hartamas","RM 1,500",431 sqft,High-Rise,Unfurnished,1 bath,1 bed,0 parking
"sri kinabalu, wangsa maju","RM 2,000",1900 sqft,High-Rise,Partially furnished,4 bath,4 bed,1 parking
regalia sultan ismail - PREFER MUSLIMS TENANT,"RM 2,000",550 sqft,High-Rise,Fully furnished,1 bath,0 bed,0 parking
KL Gateway Residence Tower,"RM 2,200",600 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"Sri Putramas II, Dutamas","RM 2,200",1170 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Sri Intan Block C, Jalan Ipoh","RM 1,300",1200 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
Regalia Sultan Ismail,"RM 4,300",1240 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
"Residensi Sefina, Mont Kiara","RM 4,700",1333 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"Menara Orkid, Sentul",RM 500,800 sqft,High-Rise,Partially furnished,2 bath,1 bed,0 parking
"Dex @ Kiara East, Jalan Ipoh","RM 2,200",698 sqft,High-Rise,Fully furnished,1 bath,2 bed,1 parking
titiwangsa sentral,"RM 2,800",1050 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
mandy villa condo,"RM 1,600",0 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
titiwangsa sentral,"RM 2,300",1011 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
titiwangsa sentral condominium,"RM 2,650",1100 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
desa green serviced apartment,"RM 1,700",715 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
mandy villa condo,"RM 1,600",0 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
sentrio pandan,"RM 2,200",856 sqft,High-Rise,Partially furnished,2 bath,2 bed,1 parking
Blok 25 Bandar Baru Sentul,"RM 1,000",550 sqft,High-Rise,Unfurnished,1 bath,2 bed,0 parking
damai88,"RM 4,700",989 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
The Reach,"RM 4,000",1700 sqft,High-Rise,Fully furnished,4 bath,3 bed,2 parking
Desa Green Service Apartment,"RM 1,900",935 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
titiwangsa sentral,"RM 2,900",1100 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
titiwangsa sentral condominium,"RM 2,100",995 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
sentrio pandan Facing KLCC,"RM 900,000",950 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
"m city, jalan ampang","RM 6,250",1920 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
"Residensi Haute, Gurney KL","RM 2,300",1046 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"viva residency, jalan ipoh","RM 1,600",900 sqft,High-Rise,Fully furnished,2 bath,2 bed,0 parking
court 28,"RM 2,400",859 sqft,High-Rise,Fully furnished,3 bath,3 bed,2 parking
amaya maluri,"RM 2,100",729 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
Titiwangsa Sentral Condominium,"RM 2,300",1100 sqft,High-Rise,Partially furnished,2 bath,3 bed,0 parking
